Johannes Georg  Wonecker;4
Johann Friedrich  Wüstefeld;14
Thomas Karl  Zenzen;8
Jakob Christoph  Bourdon;11
Peter Christoph  Brahm;13
Wendelin Wilhelm Josef  Braunschiedel;11
Georg Konrad  Breuel;5
Karl Maria Anton  Andre;9
Philipp Wilhelm  Bucheimer;3
Gottfried Ferdinand  von Buckisch und Löwenfels;14
Johann Stephan Valentin  Burckard;14
Antonius Quirinus Hans Fritz Philipp  Campius;6
Dionysius Hans Fritz Philipp  Campius;10
Jakob Hans Fritz Philipp  Campius;15
Johann Friedrich Michael  Capitel;5
Nikolaus Friedrich Michael  Capito;4
Johann Anton  Caprano;7
Johannes Anton  Carben;5
Johann Anton  Antzmann;9
Johann Kaspar Ignatz Anton  Creve;14
Friedrich Kaspar Ignatz Anton  Cronberg;12
Jakob Kaspar Ignatz Anton  Curio;14
Johannes Bartholomaeus  Appelius;15
Johann Michael  Dahm;19
Peter Joseph  Daniels;14
Johann Wilhelm  Delvaux;9
Lukas Otto  Arabier;6
Johann Wendelin  Dictes;6
Johannes Wendelin  Diel;7
Wendelin Wendelin  Dietes;4
Johann Babtist Joseph  Dilenius;13
Johann Philipp  Dirolf;3
Balthasar Philipp  Distelhusen;3
Lothar Clemens Joseph Emil  Dulog;2
Ferdinand Heinrich  von Dünwald;14
Damian Hartard  Dünwald;10
Philipp Franz  Dünwald;16
Franz Peter  Dürr;7
Jakob Fidelis  Ackermann;31
Johann Franz  Asmut;16
Franz Anton Chrysostomus  Dürr;31
Adam Anton Chrysostomus  Ebersheim;12
Gerhard Anton Chrysostomus  Ebersheim;8
Matthäus Anton Chrysostomus  Eberwein;3
Andreas Rudolf Dubslaff  Eler;14
Johannes Rudolf Dubslaff  Eler;12
Kilian Rudolf Dubslaff  Eler;8
Johann Martin  Engelhardt;13
Lubertus Martin  Erbenius;5
Anselm Franz Joseph  Ernst;18
Johannes Franz Joseph  Eseler;9
Bartholomaeus Franz Joseph  von Ethen;2
Carolus Siegfried  Faber;6
Christoph Siegfried  Faber;10
Heinrich Siegfried  Faber;8
Johann Siegfried  Faber;9
Johann Heinrich  Faber;8
Laurentius Heinrich  Faber;11
Johannes Heinrich  Fabri;5
Simon Heinrich  Bagen;17
Franz Philipp  von Faust;12
Johann Philipp  Fibig;11
Johann Karl  Fichard;12
Nikolaus Gerhard  Finck;9
Karl Franz  Fischer;9
Dietrich Franz  Flachsweiler;7
Michael Karl Max  Foresii;3
Johannes Magnus  Baimer;4
Georg Friedrich  Franck;6
Franz Phillipp  Frank;18
Peter Anton  Freiherr von Frank;23
Johann Adam  Freisbach;16
Johann Peter  Fried;10
Philipp Karl  von Fugger;9
Johannes Otto  Fürderer (genannt Kühorn);15
Balthasar Heinrich  Geier;17
Johann Franz  Gergens;4
Gerhard Anton  Gerresheim;7
Bertold Georg  Gothelp;9
Adam Georg  Gotlip;6
Jakob Georg  Goy;6
Dietrich Heinz Walter Hans Ludwig  Gresemund;17
Dietrich F.  Gresemund;20
Johann Emmerich  Gries;4
Johann Christoph  Freiherr von Gudenus;18
Urban Ferdinand  Gudenus;17
Johann Christoph  von Gudenus;11
Edmund Georg Ferdinand Hans  von Hagen;8
Matthias Joseph  Hagen;15
Johann Philipp  Hahn;18
Franz Rüdiger  von Haren;17
Franz Joseph  Hartleben;22
Theodor Konrad  Hartleben;25
Justus Jodocus  Hartlieb;13
Johann Kaspar Anton  Hartmann;12
Georg Karl  Heilmann;6
Peter Ernst  Hernssheimer;11
Heinrich Ernst  Herold;5
Johann Heinrich  Hessenhover;12
Nikolaus Karl Anton  Heusser;11
Johann Kraffto  Hiegell;21
Franz Michael  Hoepffner;7
Anton Jochem Hans  Hoffmann;11
Johannes Jochem Hans  Höglein;10
Johannes Ambrosius  Höglein;10
Johann Martin  Hohenstatt;10
Martin Martin  Hohenstatt;8
Franz Otto  Holthof;12
Heinrich Otto  Holtzgreven;9
Florentin Otto  Holtzweiler;7
Georg Ferdinand  Honcamp;12
Philipp Wilhelm Karl  Horcher;7
Johann Baptist  von Horix;27
Ludwig Baptist  von Hörnigk;28
Georg Friedrich  Hornung;4
Markus Karl Klaus  Bausmann;9
Franz Georg Ignaz  Ittner;22
Anton Franz  Ittstein;14
Christian Franz  Ittstein;9
Franz Erwin Sebastian  Itzstein;7
Daniel Erwin Sebastian  Jaeger;3
Anton Erwin Sebastian  Bayer;6
Johann Philipp Franz  Jaeger;17
Johann Valentin  Jäger;6
Johann Wilhelm Heinrich  Jäger;5
Johann Christoph  Jaeger;3
Andreas Karl  von Joss;12
Martin Karl  Bechel;3
Johannes Karl  Jung;4
Hermann Franz Dionys  Kämmerer;1
Johann Joachim  Becher;36
Dietrich Joachim  Kauff;13
Wigand Christoph Chrysostomus  Kenniken;14
Philippus Willi Otto  Beckardus;7
Johann Valentin  Knaud;5
Anton Valentin  Knauer;4
Heinrich Franz Xaver  Knodt;16
Jakob Franz Xaver  Koch;10
Georg Ludwig  Koeler;13
Johann Martin Franz  Koeler;5
Karl Joseph  Koelsch;7
Anton Philipp Thomas  Köhler;14
Jakob Philipp Thomas  Koler;10
Philipp Paul  Koltz;11
Philipp Ludwig  König;3
Johann Maria Hugo  Kranebieter;4
Johann Wolfgang  Krapff;5
Johann Adam  Krebs;16
Johann Baptist  Krick;14
Kaspar Baptist  Kuhn;9
Bernhard Baptist  Kühorn;8
Jakob Walther  Kühorn;7
Johannes Walther  Kühorn;18
Johann Christoph  Külsheimer;8
Quirinus E.  Kunckel;14
Friedrich Lorenz Theodor  Langen;20
Johannes Wilhelm  Langen;5
Johannes Jacobus  von Lasser;13
Peter Joseph  Leydig;11
Anselm Franz  Lieb;26
Gottfried Christian  Lieb;14
Albert Wilhelm  Linde;4
Johann Jakob  Lipp;4
Ludwig Philipp  Behlen;28
Nikolaus Philipp  Lisignolo;10
Sebastian Maria Joseph Alexander  Loth;20
Christian Maria Joseph Alexander  Beinhauer;1
Hieronymus Maria Joseph Alexander  von Ludolph;20
Bernhard Gottfried  Mandel;11
Joseph Thomas  Mantz;10
Anton Maria  Marchand;5
Martin Simplicius  Mayer;13
Georg Friedrich  Medicus;6
Franz Ulrich  Megele;11
Johannes Petrus  Menshengen;9
Johannes Adolf  Mergentheim;4
Jakob Adolf  Merstetter;14
Quirinus Adolf  von Mertz;11
Anton Franz  Metternich;21
Johann Peter  Bentzel;15
Johann Friedrich  Michael;9
Albert Friedrich  von Minsingen;14
Gabriel Friedrich  Mintzenthaler;6
Johann Conrad  Moeller;5
Johann Theodor  Moeren;2
Emanuel Theodor  Moerzer;12
Philipp Theodor  Mohr;8
Nikolaus Karl  Molitor;21
Valentin Friedrich  Molitor;11
Friedrich Rudolf  Moll;11
Georg Wilhelm  Moll;9
Justus Philipp Wilhelm  Moll;8
Johann Peter  Molstetter;12
Augustinus Peter  Berchem;7
Cornelius Peter  Montfort;8
Johannes Peter  Möring;12
Joseph Nikolaus  Moser;7
Johann Kaspar  Müller;9
Johannes Wolfgang  Munck;9
Johann Jakob  Nauheimer;23
Johann Georg  Neureuther;17
Johann Ernst  Neusesser gen. Leibelbacher;19
Leonhard Otto Constantin  Nimis;24
Johannes Otto Constantin  Berneburger;11
Johann Jakob  Oppenheimer;14
Peter Jakob  Ostermann;8
Wilhelm Jakob  Osterrod;3
Johann Christian  von Ottendal;13
Nikolaus Theodor  Pauli;10
Raymund Theodor  Peetz;13
Adolf Georg Hugo Samuel  von Pempelfurt;13
Johann Friedrich  von Pfeiffer;10
Lubentius Friedrich  Pfingsthorn;8
Johannes Friedrich  Bertram;28
Sebastianus Friedrich  Plest;5
Johannes Friedrich  Püchler;5
Johann Michael Ignaz  Ratzen;9
Petrus Michael Ignaz  Ravennas;19
Bernhard Gottfried  Reider;18
Johann Georg Wilhelm  Reineck;10
Jodocus Georg Wilhelm  Reis;9
Johannes Claudius  Renard;11
Jakob Heinrich  Reuter;11
Franz Anton  Rhodius;11
Johann Christoph  Richter;10
Lambert Christoph  Richtergin;10
Johann Christoph  Riedesel;9
Franz Philipp  Beusser;8
Johannes Wilhelm  Beusser;4
Joseph Matthias  Rosmann;17
Johann Richard  von Roth;35
Joseph Leopold  Roth;3
Nikolaus Otto  Rucker;11
Nikolaus Otto  Rücker;9
Friedrich Wilhelm  Rüding;12
Wendelinus Wilhelm  Ruf;6
Philipp Anton Ignaz  Ruth;9
Alexander Günther  Samhaber;6
Wilhelm Jakob  Sattler;5
Karl Anton  Schaab;14
Amandus Clemens  Schell;14
Johannes Alexander  Schilling;3
Eucharius Alexander  Schlaun;4
Johann Franz  Schlaun;10
Andreas Franz  Birnbeck;14
Michael Anna  Schleiffert;7
Georg Anna  Schlör;24
Friedrich Anton  Schmidt;7
Bernhard Max  Schöfferlin;9
Bernhard Max  Scholl;22
Johann Josef  Schönhuber;7
Johann Leonhard  Schörly;28
Georg Leonhard  Schraub;9
Philipp Adam  Schultheiss;22
Philippus Friedrich  von Schwalbach;6
Johannes Ernst Alexander  Schwartzman;8
Johann Gottfried  Schweickard;14
Kaspar Gottfried  Schweickardt;7
Georg William Mulvany  Seiler;15
Jodocus William Mulvany  Selbach;20
Joseph William Mulvany  Seubert;9
Peter Nikolaus  Söhnchen;18
Samuel Thomas  Sömmering;24
Johannes Thomas  Sorbillo;7
Valentin Amandus  Bleidenstatt;10
Stephan Felix  Steick;3
Karl Dieter  Strack;23
Franz Peter  Straub;8
Johann Valentin  Strauss;16
Georg Nikolaijewitsch  Blum;6
Johann Georg  Thein;9
Johannes Georg  Thevern;12
Leonhard Albertinus  de Alten;2
Friedrich Franz  Thyri;10
Rolinus Günther  Tinctoris;10
Dietrich Friedrich  Ulsenius;8
Johannes Friedrich  Unckel;14
Gottlieb Friedrich  Ungleich;11
Petrus Nikolaus  Unkraut;12
Peter Nikolaus  Viersen;10
Franz Ignaz Joseph  Bodmann;30
Heinrich Ignaz Joseph  Vogelmann;6
Johannes Ignaz Joseph  Vogelmann;23
Johannes Christoph  Vogelmann;11
Melchior Adolph  Vogelmann;13
Franz Adolph  Vogt;10
Josef Theobald  Vogt;10
Paul Kardinal  Volmar;8
Anton Kardinal  Voltz;3
Cyprian Kardinal  Vomelius;17
Jacob Kardinal  Vosbach;6
Michael Kardinal  Voss;20
Georg Joseph  Wagner;15
Johannes Fritz Konrad  Wahinger;11
Philipp Friedrich  Waldmann;13
Johann Wendelin  Wasmuth;21
Georg Christian Gottlieb Theophil  Wedekind;30
Johann Peter  Weidmann;13
Conrad Peter  Weidmann;13
Johann Diether  Weidmann;13
Karl Veit  Weidner;6
Johannes Veit  Bondius;2
Franz Gottfried  Weinzürl;8
Ludwig Konstantin  Reichsfreiherr von Welden;13
Jakob Konstantin  Welder;19
Josef Franz  Wenzel;13
Damian Friedrich  Boost;9
Josef Franz Ignaz Aloys  Wenzel;10
Karl August  Wenzel;8
Johann Hermann Joseph  Werren;10
Kaspar Hermann Joseph  von Westhausen;13
Georg Joseph  Westhofen;6
Johann Hugo  Widt;6
Christoph Ignaz  Wiese;13
Johann Rudolf  Will;16
Lorenz Rudolf  Wilthelm;11
Mercurius Rudolf  Wilthelm;9
Karl Joseph Hieronymus  Windischmann;18
Johann Joseph Hieronymus  Wink;7
Ivo Walter Wilhelm  Wittich;19
Franz Joseph  Wittmann;10
Franz Valentin  Woger;9
Philipp Lambert  Wolf von Rosenbach;7
